Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,546.743010078504
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.200151071015376
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4431.53918101288
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.93973156347946
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4154.21903821165
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.59165741835207
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11393.6056572867
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38301.2984391299
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.97340536048203
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3595.10666708754
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.88738036390839
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16146.5927471262
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.50466338464095
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13105.397163317
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.9872341980589
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4051.38496692373
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.88024626821933
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,58447.2526505317
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.475516485656
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,46170.3948913214
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.14663762463773
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5262.18380463117
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.22140218320925
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,32231.2725840966
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.86046391017413
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21824.2062303419
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.5929758385156
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1498.38789214106
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.512837313770296
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16838.7287311496
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.36087077867709
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6165.90933024502
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.28364773644065
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,42376.2057610404
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.17971106113614
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4707.40141641118
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.77512784836231
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1155.31316796067
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.688722324311593
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,106696.068221485
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3097.14835098189
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.82927799192997
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3291.15635462541
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.00032766265544
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5387.26943617524
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.78113160660171
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6973.09884562464
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.64230521985371
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8582.33863665038
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.04187419904738
British Virgin Islands,VGB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
